,name,price,type
79,GG 비(Bee) 모양 실크 넥 보우,"260,000원",luxury
80,릴리트 01,"259,000원",luxury
81,릴리트 01(BR),"259,000원",luxury
82,마이스터스튁 4810 키 홀더 루프 129257,"250,000원",luxury
83,[공식] 사피아노 3D 오브 키링 블랙,"180,000원",luxury
84,이자벨마랑 CQ0015 22A024A 90BE 타이론 자수 로고 볼캡,"159,000원",luxury
85,페라가모 34 2758 0524893 (342758 524893) 헤어밴드,"159,000원",luxury
86,[선물포장] 발망헤어 리미티드 에디션 빠스 아 슈브 미디움,"145,000원",luxury
87,[선물포장] 발망헤어 바렛 푸어 슈브 라지 톨더스 쉘,"130,000원",luxury
88,[친구 맺고 3%적립] TUMI+ 에어팟 프로 파우치,"110,000원",luxury
89,[선물포장] 발망헤어 바렛 푸어 슈브 미디움 톨더스 쉘,"98,000원",luxury
90,[오피디아] 코리아 익스클루시브 탑 핸들백,"3,900,000원",luxury
91,발렌티노 락스터드 동전지갑 겸 카드케이스 UW2P0548-BOL-0NO 라프리마,"250,000원",luxury
92,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 카드 케이스,"119,000원",luxury
93,[구찌 홀스빗 1955] 미니백,"3,600,000원",luxury
94,[오피디아] 카드 케이스 지갑,"750,000원",luxury
95,불가리 불가리 맨 반지갑,"630,000원",luxury
96,발렌티노 VLTN 로고 남성 머플러 1Y2ER033-PTX-0NI,"420,000원",luxury
97,모라 02,"280,000원",luxury
98,세르펜티 포에버 크로스 백,"2,850,000원",luxury
99,Demi-Lune Mini Compact Wallet,"319,000원",luxury
100,[공식] 사피아노 3D 오브 키링 블랙,"180,000원",luxury
101,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 컬러블록 카드 케이스,"147,000원",luxury
102,버버리 8027167 A7026 보 타이 토마스 베어 참 키링,"319,000원",luxury
103,[잭슨] 남성 레더 나일론 스니커즈,"1,320,000원",luxury
104,몽블랑 블랙 컬러 벨트 116706,"410,000원",luxury
105,세르펜티 포에버 마이크로 백,"780,000원",luxury
106,페라가모 66 0371 0741376 (660371 741376) 카드지갑,"212,900원",luxury
107,[T 라인] 그레인 레더 머니클립,"710,000원",luxury
108,로지 01,"269,000원",luxury
109,가죽 카드 홀더,"454,000원",luxury
110,Ninon Mini Bag,"349,000원",luxury
111,MUSEO 소프트 백,"1,710,000원",luxury
112,[친구 맺고 3%적립] [30%off][토리버치 공식]페리 봄베 컬러 블록 탑집 카드케이스,"175,000원",luxury
113,[공식] 샤이니 페이턴트 플랩 카드지갑 블랙,"330,000원",luxury
114,[카카오 익스클루시브] 불가리 불가리 코인 퍼스,"480,000원",luxury
115,[공식]롱샴 르 플리아쥬 오리지널 탑핸들백 L1621089P68,"180,000원",luxury
116,사피아노 가죽 3단 지갑,"650,000원",luxury
117,해리 01,"289,000원",luxury
118,릭 01,"259,000원",luxury
119,[카카오 익스클루시브] 불가리 불가리 코인 퍼스,"480,000원",luxury
120,[제임스] 남성 스웨이드 나일론 스니커즈,"1,370,000원",luxury
121,보테가베네타 635057 VCPQ3 8803 인트레치아토 카드지갑,"360,900원",luxury
122,GG 자카드 패턴 니트 스카프,"520,000원",luxury
123,Lou Tote Bag,"199,000원",luxury
124,[친구 맺고 3%적립] 뉴브릭 엠보싱 레더 카드케이스 2단 지갑,"370,000원",luxury
125,[공식] 그래니 프레임 펄스 크로스백 블랙,"480,000원",luxury
126,[GG 마몽] 하프문 쉐입 미니백,"1,870,000원",luxury
127,Demi-Lune Mini Compact Wallet,"319,000원",luxury
128,[T 라인] 그레인 레더 TF 클래식 카드지갑,"360,000원",luxury
129,[롯데백화점]보테가베네타 22FW 공용 인트레치아토 카드지갑 네이비 162150 V001,"291,000원",luxury
130,허 01,"259,000원",luxury
131,프라다 1MC007 2B6P F0002 비텔로 목걸이 카드지갑,"499,000원",luxury
132,Glam Slam 플랩 스몰 백,"1,974,000원",luxury
133,사피아노 가죽 3단 지갑,"650,000원",luxury
134,세르펜티 포에버 카드 홀더,"800,000원",luxury
135,가죽 카드 홀더,"391,000원",luxury
136,생로랑 금장 지퍼 카드케이스(607915 BOW01),"513,000원",luxury
137,세르펜티 카보숑 마이크로 백,"1,200,000원",luxury
138,[친구 맺고 3%적립] [30%off][토리버치 공식]키라 쉐브론 바이폴드 월렛,"231,000원",luxury
139,골든구스 여성 슈퍼스타 GWF00175 F003366 11234,"748,000원",luxury
140,알리오 X C1,"310,000원",luxury
141,프라다 1NA369 2BQP F0002 끈조임형 버킷백 (별도스트랩X),"669,000원",luxury
142,몽블랑 블랙 컬러 벨트 114421,"410,000원",luxury
143,[오피디아] 코리아 익스클루시브 미디엄 GG 토트백,"1,810,000원",luxury
144,몽블랑 사토리얼 키 포브 114627,"280,000원",luxury
