,name,price,type
59,"""쓸모없는 선물"" 눈 있는 똥 말랑이 생일선물 쓸데없는 신박한 선물","7,900원",funny
60,"""쓸모없는선물"" [홈/생일파티]공주님 소품 요술봉 왕관 코스튬 6종세트 생일선물 홈파티 파티소품","9,900원",funny
61,"""쓸모없는 선물 "" 데스노트 (+깃털 펜 포함) 생일선물 쓸데없는 신박한 선물","9,800원",funny
62,"""헬스장에서 꿀템"" [쓸모없는선물] 출출한데 닭다리 스타킹 닭발니삭스","7,900원",funny
63,"""토끼인가 사람인가"" 디자인 세안밴드 7종택1","4,900원",funny
64,"""쓸데없는 선물"" 쓸데없는 선물 특이한 옷 아구찜 티셔츠 반팔/긴팔","22,500원",funny
65,"""낮잠자도 팔안저려"" 모찌식빵 낮잠쿠션 15cm 식빵인형","9,900원",funny
66,"""너에게 간다, 행운"" 행운의 네잎클로버 (클로버1+봉투1) 위로 응원선물","5,900원",funny
67,"[친구선물] 너에게 정말 잘어울려 ""마이콜선글라스""","5,900원",funny
68,"""재미있는선물"" 선물하는 마음만은 만수르야 금괴 은괴 데스크 쿠션","7,900원",funny
69,"""귀여운 선물"" 오리 날다 키링 열쇠고리 자동차 키 인싸템 생일선물 쓸데없는 신박한 선물","7,800원",funny
70,"""쓸모없는 선물"" 곰돌이 가방 생일선물 쓸데없는 신박한 선물","12,900원",funny
71,"""쓸모없는 선물"" 타투 쿨토시 팔토시 시원한 코스튬 분장 생일선물 쓸데없는 신박한 선물","7,800원",funny
72,"""쓸모없는선물"" '밥 잘먹는 너' 곰동석 소두곰 필로우 47cm 곰인형 소두곰인형","19,900원",funny
73,"""크리스마스 선물"" 춤추는 댄싱 트리 인형 크리스마스 선물 쓸모없는 재미있는친구 집들이 수능 응원 선물","23,900원",funny
74,"""귀여운 선물"" 만세 오리 인형 (40cm) 애착 인형 인테리어 소품 생일선물 쓸데없는 신박한 선물","16,800원",funny
75,'따뜻한 귀요미' 모찌모찌 냠냠 푸드 핫팩인형,"7,900원",funny
76,피곤이 싸악- 보약 양말,"9,900원",funny
77,"""쓸데없는 인형쿠션"" 대형 치킨 닭다리 쿠션 55cm 베개 인형 유퀴즈 BTS 선물","12,000원",funny
78,"""쓸모없는 선물"" 스펀지밥 우정 커플 목걸이 생일선물 쓸데없는 신박한 선물","8,900원",funny
79,"""금파 대란! 실속 있는 파테크"" 대파 뿌리 키우기 화분 세트","9,800원",funny
